"year","county","substance","log_rr_median","prob_rr_gt1"
2011,"Franklin","psychostimulant",1.6204820796219,0.989133333333333
2011,"Fulton","psychostimulant",1.58507032483627,0.9804
2011,"Gallia","psychostimulant",1.57605070399052,0.981933333333333
2011,"Geauga","psychostimulant",1.54330996058138,0.9796
2011,"Greene","psychostimulant",1.44301902280614,0.972266666666667
2011,"Guernsey","psychostimulant",1.65361611955566,0.984933333333333
2011,"Hamilton","psychostimulant",1.40622931238594,0.975866666666667
2011,"Hancock","psychostimulant",1.53089046283291,0.9768
2011,"Hardin","psychostimulant",1.5365857129954,0.9794
2011,"Harrison","psychostimulant",1.59780594061773,0.982666666666667
2011,"Henry","psychostimulant",1.5135186020031,0.9742
2011,"Highland","psychostimulant",1.66053567317795,0.985066666666667
2011,"Hocking","psychostimulant",1.57694874488333,0.983866666666667
2011,"Holmes","psychostimulant",1.52551690042875,0.976866666666667
2011,"Huron","psychostimulant",1.67428430825003,0.987066666666667
2011,"Jackson","psychostimulant",1.56224898464913,0.980266666666667
2011,"Jefferson","psychostimulant",1.54447227068799,0.980733333333333
2011,"Knox","psychostimulant",1.60908120234328,0.980333333333333
2011,"Lake","psychostimulant",1.83660946369932,0.993
2011,"Lawrence","psychostimulant",1.5536291006444,0.977933333333333
2011,"Licking","psychostimulant",1.63578262106861,0.985866666666667
2011,"Logan","psychostimulant",1.54915502874659,0.977666666666667
2011,"Lorain","psychostimulant",1.56436029690302,0.981866666666667
2011,"Lucas","psychostimulant",1.42128032588695,0.968266666666667
2011,"Madison","psychostimulant",1.56633367202335,0.9818
2011,"Mahoning","psychostimulant",1.7106387183035,0.988666666666667
2011,"Marion","psychostimulant",1.5924780129323,0.981866666666667
2011,"Medina","psychostimulant",1.59483513182167,0.983466666666667
2011,"Meigs","psychostimulant",1.6993950914532,0.987333333333333
2011,"Mercer","psychostimulant",1.49731072041571,0.9744
2011,"Miami","psychostimulant",1.49344636420354,0.975933333333333
2011,"Monroe","psychostimulant",1.55876683382702,0.980133333333333
2011,"Montgomery","psychostimulant",1.4788780561041,0.981933333333333
2011,"Morgan","psychostimulant",1.55911177157594,0.978066666666667
2011,"Morrow","psychostimulant",1.56850215244583,0.981666666666667
2011,"Muskingum","psychostimulant",1.48947820424528,0.975133333333333
2011,"Noble","psychostimulant",1.62020092412797,0.984933333333333
2011,"Ottawa","psychostimulant",1.49893631101764,0.9736
2011,"Paulding","psychostimulant",1.55339993353144,0.979
2011,"Perry","psychostimulant",1.57791323127847,0.981866666666667
2011,"Pickaway","psychostimulant",1.64605932017647,0.984733333333333
2011,"Pike","psychostimulant",1.73197412255089,0.991333333333333
2011,"Portage","psychostimulant",1.5097073649473,0.9778
2011,"Preble","psychostimulant",1.53149200944134,0.978666666666667
2011,"Putnam","psychostimulant",1.48809927404907,0.9738
