"year","county","log_smr_median","race","substance"
2013,"Marion",0.992293988771036,"White","cocaine"
2013,"Medina",-0.308990017256404,"White","cocaine"
2013,"Meigs",-0.398613198967166,"White","cocaine"
2013,"Mercer",-0.82632596194114,"White","cocaine"
2013,"Miami",-0.135993725087335,"White","cocaine"
2013,"Monroe",-0.846553588302215,"White","cocaine"
2013,"Montgomery",0.608227634206616,"White","cocaine"
2013,"Morgan",-1.1732551463716,"White","cocaine"
2013,"Morrow",-0.302651068279868,"White","cocaine"
2013,"Muskingum",-0.789879583499349,"White","cocaine"
2013,"Noble",-0.802134149964844,"White","cocaine"
2013,"Ottawa",-0.377970996080101,"White","cocaine"
2013,"Paulding",-0.957444041631712,"White","cocaine"
2013,"Perry",-1.00279764065815,"White","cocaine"
2013,"Pickaway",0.484754111217942,"White","cocaine"
2013,"Pike",-0.15675172037031,"White","cocaine"
2013,"Portage",0.121702641966218,"White","cocaine"
2013,"Preble",0.229967048295827,"White","cocaine"
2013,"Putnam",-0.332211324258589,"White","cocaine"
2013,"Richland",0.701868114552727,"White","cocaine"
2013,"Ross",1.13018088989559,"White","cocaine"
2013,"Sandusky",-0.286926756626546,"White","cocaine"
2013,"Scioto",-0.434685745611058,"White","cocaine"
2013,"Seneca",-0.835189520060719,"White","cocaine"
2013,"Shelby",-0.559936917758039,"White","cocaine"
2013,"Stark",0.760522411634363,"White","cocaine"
2013,"Summit",0.0690145100915754,"White","cocaine"
2013,"Trumbull",0.58731911753252,"White","cocaine"
2013,"Tuscarawas",-0.0254082875165755,"White","cocaine"
2013,"Union",-0.727629467824768,"White","cocaine"
2013,"Van Wert",-0.455709253055337,"White","cocaine"
2013,"Vinton",-0.29798272290655,"White","cocaine"
2013,"Warren",0.0120636887002752,"White","cocaine"
2013,"Washington",-0.984665026941011,"White","cocaine"
2013,"Wayne",0.0168877801618959,"White","cocaine"
2013,"Williams",-0.617992499209426,"White","cocaine"
2013,"Wood",-0.207998760685002,"White","cocaine"
2013,"Wyandot",-0.730695768311262,"White","cocaine"
2014,"Adams",-0.582748019341444,"White","cocaine"
2014,"Allen",0.153652567584993,"White","cocaine"
2014,"Ashland",-0.0315385359574515,"White","cocaine"
2014,"Ashtabula",0.195852137110538,"White","cocaine"
2014,"Athens",-0.985191632056882,"White","cocaine"
2014,"Auglaize",-0.328961358266353,"White","cocaine"
2014,"Belmont",-0.553315896342183,"White","cocaine"
2014,"Brown",0.507987034377304,"White","cocaine"
2014,"Butler",1.71647969673027,"White","cocaine"
2014,"Carroll",-0.0162155483787416,"White","cocaine"
2014,"Champaign",0.626410433894835,"White","cocaine"
2014,"Clark",1.3336087918838,"White","cocaine"
2014,"Clermont",1.3078359934181,"White","cocaine"
2014,"Clinton",0.0358417157381314,"White","cocaine"
