"year","county","substance","u_median","prob_positive"
2011,"Fayette","cocaine",0.400450499173725,0.902066666666667
2011,"Franklin","cocaine",0.686870082020904,0.992266666666667
2011,"Fulton","cocaine",-0.651981769683845,0.0739333333333333
2011,"Gallia","cocaine",0.0904809636373518,0.585866666666667
2011,"Geauga","cocaine",0.302939677759807,0.8348
2011,"Greene","cocaine",0.255035947752095,0.811933333333333
2011,"Guernsey","cocaine",-0.160527716745704,0.314466666666667
2011,"Hamilton","cocaine",1.11461995123057,0.999733333333333
2011,"Hancock","cocaine",-0.432494482253839,0.072
2011,"Hardin","cocaine",-0.266810870939707,0.182866666666667
2011,"Harrison","cocaine",-0.115547632522485,0.374666666666667
2011,"Henry","cocaine",-0.579735802859551,0.0445333333333333
2011,"Highland","cocaine",0.165313005242772,0.686933333333333
2011,"Hocking","cocaine",0.040529899573907,0.550133333333333
2011,"Holmes","cocaine",-0.284645220528153,0.180866666666667
2011,"Huron","cocaine",-0.301363636784141,0.154266666666667
2011,"Jackson","cocaine",0.156379218910566,0.6706
2011,"Jefferson","cocaine",0.136392931986503,0.641733333333333
2011,"Knox","cocaine",-0.0847980708393642,0.378933333333333
2011,"Lake","cocaine",0.536368881090078,0.926333333333333
2011,"Lawrence","cocaine",0.215864410487101,0.6926
2011,"Licking","cocaine",-0.195270654405051,0.2314
2011,"Logan","cocaine",-0.00277696984073034,0.497133333333333
2011,"Lorain","cocaine",0.144555807993897,0.6824
2011,"Lucas","cocaine",-0.304501589085503,0.182133333333333
2011,"Madison","cocaine",0.342729813784795,0.893133333333333
2011,"Mahoning","cocaine",0.702168255611839,0.987066666666667
2011,"Marion","cocaine",0.130099011692786,0.668
2011,"Medina","cocaine",0.0565440201317856,0.573466666666667
2011,"Meigs","cocaine",-0.0808391458713408,0.432066666666667
2011,"Mercer","cocaine",-0.377296122755036,0.188866666666667
2011,"Miami","cocaine",0.240376021913221,0.7662
2011,"Monroe","cocaine",-0.455418872934493,0.164533333333333
2011,"Montgomery","cocaine",0.598699368660297,0.9876
2011,"Morgan","cocaine",-0.475371303343987,0.106066666666667
2011,"Morrow","cocaine",-0.0440738187975542,0.4452
2011,"Muskingum","cocaine",-0.309641513828418,0.1632
2011,"Noble","cocaine",-0.394399644661318,0.135466666666667
2011,"Ottawa","cocaine",-0.608732854260575,0.075
2011,"Paulding","cocaine",-0.689378167873781,0.0669333333333333
2011,"Perry","cocaine",-0.273552057998371,0.2
2011,"Pickaway","cocaine",0.3644697671238,0.8928
2011,"Pike","cocaine",0.197117046953293,0.710333333333333
2011,"Portage","cocaine",0.255157918509732,0.8112
2011,"Preble","cocaine",0.417790850951739,0.851533333333333
2011,"Putnam","cocaine",-0.511691450651368,0.0572
2011,"Richland","cocaine",0.0869780355803058,0.614333333333333
2011,"Ross","cocaine",0.400007000872076,0.918933333333333
2011,"Sandusky","cocaine",-0.490508266251996,0.0757333333333333
2011,"Scioto","cocaine",0.148480116876739,0.644066666666667
2011,"Seneca","cocaine",-0.522949322749203,0.0473333333333333
2011,"Shelby","cocaine",0.010265363116933,0.5112
2011,"Stark","cocaine",0.246786788259548,0.8344
2011,"Summit","cocaine",0.165121389677245,0.730133333333333
2011,"Trumbull","cocaine",0.462887383887548,0.9144
2011,"Tuscarawas","cocaine",-0.0341446794019894,0.452933333333333
2011,"Union","cocaine",-0.00309744979502646,0.4966
2011,"Van Wert","cocaine",-0.357895650624833,0.164866666666667
2011,"Vinton","cocaine",0.0183602336694204,0.522666666666667
2011,"Warren","cocaine",0.398794532050171,0.918866666666667
2011,"Washington","cocaine",-0.459575849787934,0.1274
2011,"Wayne","cocaine",-0.0308843264933681,0.461133333333333
2011,"Williams","cocaine",-0.746499389464764,0.0539333333333333
2011,"Wood","cocaine",-0.564754188447887,0.0297333333333333
2011,"Wyandot","cocaine",-0.413129573954237,0.1176
2012,"Adams","cocaine",-0.216621118696473,0.308066666666667
2012,"Allen","cocaine",-0.059292233459393,0.434733333333333
2012,"Ashland","cocaine",-0.0998200627629567,0.375933333333333
2012,"Ashtabula","cocaine",0.116213122906844,0.602933333333333
2012,"Athens","cocaine",-0.547751819984682,0.0708
2012,"Auglaize","cocaine",-0.190161579569062,0.2936
2012,"Belmont","cocaine",-0.335424171855238,0.196466666666667
2012,"Brown","cocaine",0.133088402269454,0.627733333333333
2012,"Butler","cocaine",0.827104680556785,0.992333333333333
2012,"Carroll","cocaine",0.0909113857797969,0.5938
2012,"Champaign","cocaine",0.375276221276002,0.858666666666667
2012,"Clark","cocaine",0.80416146066062,0.991466666666667
2012,"Clermont","cocaine",0.504242802122834,0.913733333333333
2012,"Clinton","cocaine",0.133577616018533,0.648933333333333
2012,"Columbiana","cocaine",0.327931922475329,0.815333333333333
2012,"Coshocton","cocaine",-0.318157975677835,0.183866666666667
2012,"Crawford","cocaine",-0.0720507846440645,0.419
2012,"Cuyahoga","cocaine",0.934318005102324,0.997933333333333
2012,"Darke","cocaine",0.385131077102714,0.862733333333333
2012,"Defiance","cocaine",-0.268610767585684,0.270733333333333
2012,"Delaware","cocaine",-0.162804826302179,0.308266666666667
2012,"Erie","cocaine",-0.169506363540869,0.346666666666667
2012,"Fairfield","cocaine",-0.407231719216218,0.1176
2012,"Fayette","cocaine",0.290641704838658,0.800133333333333
2012,"Franklin","cocaine",0.666282869679463,0.981266666666667
2012,"Fulton","cocaine",-0.199580451198761,0.336333333333333
2012,"Gallia","cocaine",-0.133969315486924,0.385133333333333
2012,"Geauga","cocaine",0.351637452998693,0.8438
2012,"Greene","cocaine",0.113835913095215,0.6332
2012,"Guernsey","cocaine",-0.272471978184519,0.224333333333333
2012,"Hamilton","cocaine",0.962074871344134,0.996066666666667
2012,"Hancock","cocaine",-0.205368673501627,0.264
2012,"Hardin","cocaine",-0.184656584292723,0.285866666666667
2012,"Harrison","cocaine",-0.172366109186729,0.337333333333333
2012,"Henry","cocaine",-0.200438150028161,0.289466666666667
2012,"Highland","cocaine",-0.0833303585717999,0.412133333333333
2012,"Hocking","cocaine",-0.232528746469272,0.266533333333333
2012,"Holmes","cocaine",-0.432016712052846,0.116666666666667
2012,"Huron","cocaine",-0.141199727934256,0.3356
2012,"Jackson","cocaine",-0.0771747052048628,0.421066666666667
2012,"Jefferson","cocaine",0.219760072498005,0.705733333333333
2012,"Knox","cocaine",-0.112802725818262,0.355666666666667
2012,"Lake","cocaine",0.530800699099675,0.906266666666667
2012,"Lawrence","cocaine",-0.025485513653184,0.478466666666667
2012,"Licking","cocaine",-0.410377960536706,0.0924666666666667
2012,"Logan","cocaine",0.0441528374666437,0.5428
2012,"Lorain","cocaine",0.438186020138098,0.907066666666667
2012,"Lucas","cocaine",0.363189378479633,0.849266666666667
2012,"Madison","cocaine",0.265151540494979,0.805533333333333
2012,"Mahoning","cocaine",0.800343724161261,0.988733333333333
2012,"Marion","cocaine",0.318876926292373,0.832066666666667
2012,"Medina","cocaine",0.117630464836623,0.634133333333333
2012,"Meigs","cocaine",-0.302747540799142,0.272666666666667
2012,"Mercer","cocaine",-0.38710727315724,0.211333333333333
2012,"Miami","cocaine",0.247957091212418,0.750133333333333
2012,"Monroe","cocaine",-0.648716255273234,0.112333333333333
2012,"Montgomery","cocaine",0.565613672231891,0.9728
2012,"Morgan","cocaine",-0.785335250530922,0.0334
2012,"Morrow","cocaine",-0.0160265174221344,0.482466666666667
2012,"Muskingum","cocaine",-0.497600113375837,0.0756
