DeathRaceRaceDesc,DeathCountyCountyName,DeathYearYear,Deaths,Population,SORT
Unknown,Ashland,2020,0,0,486
White,Ashtabula,2010,0,96099,504
Black,Ashtabula,2010,0,4402,506
American Indian or Alaskan Native,Ashtabula,2010,0,362,508
Asian or Pacific Islander,Ashtabula,2010,0,548,510
Other,Ashtabula,2010,0,0,512
Unknown,Ashtabula,2010,0,0,514
White,Ashtabula,2011,0,95739,518
Black,Ashtabula,2011,0,4426,520
American Indian or Alaskan Native,Ashtabula,2011,0,357,522
Asian or Pacific Islander,Ashtabula,2011,0,578,524
Other,Ashtabula,2011,0,0,526
Unknown,Ashtabula,2011,0,0,528
White,Ashtabula,2012,2,94868,532
Black,Ashtabula,2012,0,4455,534
American Indian or Alaskan Native,Ashtabula,2012,0,365,536
Asian or Pacific Islander,Ashtabula,2012,0,586,538
Other,Ashtabula,2012,0,0,540
Unknown,Ashtabula,2012,1,0,542
White,Ashtabula,2013,1,94377,546
Black,Ashtabula,2013,0,4469,548
American Indian or Alaskan Native,Ashtabula,2013,0,356,550
Asian or Pacific Islander,Ashtabula,2013,0,577,552
Other,Ashtabula,2013,0,0,554
Unknown,Ashtabula,2013,0,0,556
White,Ashtabula,2014,3,93629,560
Black,Ashtabula,2014,0,4475,562
American Indian or Alaskan Native,Ashtabula,2014,0,368,564
Asian or Pacific Islander,Ashtabula,2014,0,592,566
Other,Ashtabula,2014,0,0,568
Unknown,Ashtabula,2014,0,0,570
White,Ashtabula,2015,1,92981,574
Black,Ashtabula,2015,0,4451,576
American Indian or Alaskan Native,Ashtabula,2015,0,363,578
Asian or Pacific Islander,Ashtabula,2015,0,648,580
Other,Ashtabula,2015,0,0,582
Unknown,Ashtabula,2015,0,0,584
White,Ashtabula,2016,7,92612,588
Black,Ashtabula,2016,0,4552,590
American Indian or Alaskan Native,Ashtabula,2016,0,375,592
Asian or Pacific Islander,Ashtabula,2016,0,633,594
Other,Ashtabula,2016,0,0,596
Unknown,Ashtabula,2016,0,0,598
White,Ashtabula,2017,3,92164,602
Black,Ashtabula,2017,1,4595,604
American Indian or Alaskan Native,Ashtabula,2017,0,368,606
Asian or Pacific Islander,Ashtabula,2017,0,646,608
Other,Ashtabula,2017,0,0,610
Unknown,Ashtabula,2017,0,0,612
White,Ashtabula,2018,4,91865,616
Black,Ashtabula,2018,0,4628,618
American Indian or Alaskan Native,Ashtabula,2018,0,393,620
Asian or Pacific Islander,Ashtabula,2018,0,650,622
Other,Ashtabula,2018,0,0,624
Unknown,Ashtabula,2018,0,0,626
White,Ashtabula,2019,1,91415,630
Black,Ashtabula,2019,1,4628,632
American Indian or Alaskan Native,Ashtabula,2019,0,384,634
Asian or Pacific Islander,Ashtabula,2019,0,661,636
Other,Ashtabula,2019,0,0,638
Unknown,Ashtabula,2019,0,0,640
White,Ashtabula,2020,0,90918,644
Black,Ashtabula,2020,0,4519,646
American Indian or Alaskan Native,Ashtabula,2020,0,388,648
Asian or Pacific Islander,Ashtabula,2020,0,688,650
Other,Ashtabula,2020,0,0,652
Unknown,Ashtabula,2020,0,0,654
White,Athens,2010,0,60782,672
Black,Athens,2010,0,2174,674
American Indian or Alaskan Native,Athens,2010,0,305,676
Asian or Pacific Islander,Athens,2010,0,1914,678
Other,Athens,2010,0,0,680
Unknown,Athens,2010,0,0,682
White,Athens,2011,1,60666,686
Black,Athens,2011,0,2140,688
American Indian or Alaskan Native,Athens,2011,0,315,690
Asian or Pacific Islander,Athens,2011,0,1971,692
Other,Athens,2011,0,0,694
Unknown,Athens,2011,0,0,696
White,Athens,2012,1,60147,700
Black,Athens,2012,0,2120,702
American Indian or Alaskan Native,Athens,2012,0,301,704
Asian or Pacific Islander,Athens,2012,0,2065,706
Other,Athens,2012,0,0,708
Unknown,Athens,2012,0,0,710
White,Athens,2013,0,59981,714
Black,Athens,2013,0,2141,716
American Indian or Alaskan Native,Athens,2013,0,316,718
Asian or Pacific Islander,Athens,2013,0,2190,720
Other,Athens,2013,0,0,722
Unknown,Athens,2013,0,0,724
White,Athens,2014,0,60118,728
Black,Athens,2014,0,2129,730
American Indian or Alaskan Native,Athens,2014,0,332,732
Asian or Pacific Islander,Athens,2014,0,2254,734
Other,Athens,2014,0,0,736
Unknown,Athens,2014,0,0,738
White,Athens,2015,1,61045,742
Black,Athens,2015,0,2238,744
American Indian or Alaskan Native,Athens,2015,0,329,746
Asian or Pacific Islander,Athens,2015,0,2337,748
Other,Athens,2015,0,0,750
Unknown,Athens,2015,0,0,752
White,Athens,2016,0,61434,756
Black,Athens,2016,0,2280,758
American Indian or Alaskan Native,Athens,2016,0,335,760
Asian or Pacific Islander,Athens,2016,0,2353,762
Other,Athens,2016,0,0,764
Unknown,Athens,2016,0,0,766
White,Athens,2017,0,61575,770
Black,Athens,2017,0,2308,772
American Indian or Alaskan Native,Athens,2017,0,355,774
Asian or Pacific Islander,Athens,2017,0,2349,776
Other,Athens,2017,0,0,778
Unknown,Athens,2017,0,0,780
White,Athens,2018,1,60725,784
Black,Athens,2018,0,2325,786
American Indian or Alaskan Native,Athens,2018,0,357,788
Asian or Pacific Islander,Athens,2018,0,2266,790
Other,Athens,2018,0,0,792
Unknown,Athens,2018,0,0,794
White,Athens,2019,2,60710,798
Black,Athens,2019,0,2333,800
American Indian or Alaskan Native,Athens,2019,0,347,802
Asian or Pacific Islander,Athens,2019,0,2192,804
Other,Athens,2019,0,0,806
Unknown,Athens,2019,0,0,808
White,Athens,2020,2,60653,812
Black,Athens,2020,0,2383,814
American Indian or Alaskan Native,Athens,2020,0,345,816
Asian or Pacific Islander,Athens,2020,0,2100,818
Other,Athens,2020,0,0,820
Unknown,Athens,2020,0,0,822
White,Auglaize,2010,0,45288,840
Black,Auglaize,2010,1,298,842
American Indian or Alaskan Native,Auglaize,2010,0,97,844
Asian or Pacific Islander,Auglaize,2010,0,231,846
Other,Auglaize,2010,0,0,848
Unknown,Auglaize,2010,0,0,850
White,Auglaize,2011,1,45106,854
Black,Auglaize,2011,0,319,856
American Indian or Alaskan Native,Auglaize,2011,0,97,858
Asian or Pacific Islander,Auglaize,2011,0,236,860
Other,Auglaize,2011,0,0,862
Unknown,Auglaize,2011,0,0,864
White,Auglaize,2012,0,45088,868
Black,Auglaize,2012,0,349,870
American Indian or Alaskan Native,Auglaize,2012,0,97,872
Asian or Pacific Islander,Auglaize,2012,0,253,874
Other,Auglaize,2012,0,0,876
Unknown,Auglaize,2012,0,0,878
White,Auglaize,2013,0,45061,882
Black,Auglaize,2013,0,369,884
American Indian or Alaskan Native,Auglaize,2013,0,109,886
Asian or Pacific Islander,Auglaize,2013,0,281,888
Other,Auglaize,2013,0,0,890
Unknown,Auglaize,2013,0,0,892
White,Auglaize,2014,0,44953,896
Black,Auglaize,2014,0,383,898
American Indian or Alaskan Native,Auglaize,2014,0,111,900
Asian or Pacific Islander,Auglaize,2014,0,309,902
Other,Auglaize,2014,0,0,904
Unknown,Auglaize,2014,0,0,906
White,Auglaize,2015,1,44868,910
Black,Auglaize,2015,0,442,912
American Indian or Alaskan Native,Auglaize,2015,0,112,914
Asian or Pacific Islander,Auglaize,2015,0,332,916
Other,Auglaize,2015,0,0,918
Unknown,Auglaize,2015,0,0,920
White,Auglaize,2016,2,44867,924
Black,Auglaize,2016,0,447,926
American Indian or Alaskan Native,Auglaize,2016,0,112,928
Asian or Pacific Islander,Auglaize,2016,0,346,930
Other,Auglaize,2016,0,0,932
Unknown,Auglaize,2016,0,0,934
White,Auglaize,2017,3,44825,938
Black,Auglaize,2017,0,473,940
American Indian or Alaskan Native,Auglaize,2017,0,108,942
Asian or Pacific Islander,Auglaize,2017,0,350,944
Other,Auglaize,2017,0,0,946
Unknown,Auglaize,2017,0,0,948
White,Auglaize,2018,0,44821,952
Black,Auglaize,2018,0,467,954
American Indian or Alaskan Native,Auglaize,2018,0,113,956
Asian or Pacific Islander,Auglaize,2018,0,327,958
Other,Auglaize,2018,0,0,960
Unknown,Auglaize,2018,0,0,962
White,Auglaize,2019,0,44666,966
Black,Auglaize,2019,0,487,968
American Indian or Alaskan Native,Auglaize,2019,0,114,970
Asian or Pacific Islander,Auglaize,2019,0,343,972
Other,Auglaize,2019,0,0,974
Unknown,Auglaize,2019,0,0,976
White,Auglaize,2020,0,44710,980
Black,Auglaize,2020,0,521,982
American Indian or Alaskan Native,Auglaize,2020,0,114,984
Asian or Pacific Islander,Auglaize,2020,0,335,986
Other,Auglaize,2020,0,0,988
Unknown,Auglaize,2020,0,0,990
White,Belmont,2010,0,66760,1008
Black,Belmont,2010,0,3163,1010
American Indian or Alaskan Native,Belmont,2010,0,94,1012
Asian or Pacific Islander,Belmont,2010,0,320,1014
Other,Belmont,2010,0,0,1016
Unknown,Belmont,2010,0,0,1018
White,Belmont,2011,0,66516,1022
Black,Belmont,2011,0,3193,1024
American Indian or Alaskan Native,Belmont,2011,0,103,1026
Asian or Pacific Islander,Belmont,2011,0,320,1028
Other,Belmont,2011,0,0,1030
Unknown,Belmont,2011,0,0,1032
White,Belmont,2012,0,66104,1036
Black,Belmont,2012,0,3205,1038
American Indian or Alaskan Native,Belmont,2012,0,107,1040
Asian or Pacific Islander,Belmont,2012,0,312,1042
Other,Belmont,2012,0,0,1044
Unknown,Belmont,2012,0,0,1046
White,Belmont,2013,1,65911,1050
Black,Belmont,2013,0,3232,1052
American Indian or Alaskan Native,Belmont,2013,0,108,1054
Asian or Pacific Islander,Belmont,2013,0,342,1056
Other,Belmont,2013,0,0,1058
Unknown,Belmont,2013,0,0,1060
White,Belmont,2014,0,65652,1064
Black,Belmont,2014,0,3272,1066
American Indian or Alaskan Native,Belmont,2014,0,110,1068
Asian or Pacific Islander,Belmont,2014,0,369,1070
Other,Belmont,2014,0,0,1072
Unknown,Belmont,2014,0,0,1074
White,Belmont,2015,1,65240,1078
Black,Belmont,2015,1,3286,1080
American Indian or Alaskan Native,Belmont,2015,0,118,1082
Asian or Pacific Islander,Belmont,2015,0,374,1084
Other,Belmont,2015,0,0,1086
Unknown,Belmont,2015,0,0,1088
White,Belmont,2016,0,64899,1092
Black,Belmont,2016,0,3233,1094
American Indian or Alaskan Native,Belmont,2016,0,125,1096
Asian or Pacific Islander,Belmont,2016,0,385,1098
Other,Belmont,2016,0,0,1100
Unknown,Belmont,2016,0,0,1102
White,Belmont,2017,7,64262,1106
Black,Belmont,2017,1,3270,1108
American Indian or Alaskan Native,Belmont,2017,0,120,1110
Asian or Pacific Islander,Belmont,2017,0,422,1112
Other,Belmont,2017,0,0,1114
Unknown,Belmont,2017,0,0,1116
White,Belmont,2018,1,63616,1120
Black,Belmont,2018,2,3342,1122
American Indian or Alaskan Native,Belmont,2018,0,120,1124
Asian or Pacific Islander,Belmont,2018,0,414,1126
Other,Belmont,2018,0,0,1128
Unknown,Belmont,2018,0,0,1130
White,Belmont,2019,8,63112,1134
Black,Belmont,2019,0,3319,1136
American Indian or Alaskan Native,Belmont,2019,0,123,1138
Asian or Pacific Islander,Belmont,2019,0,425,1140
Other,Belmont,2019,0,0,1142
Unknown,Belmont,2019,0,0,1144
White,Belmont,2020,4,62188,1148
Black,Belmont,2020,1,3183,1150
American Indian or Alaskan Native,Belmont,2020,0,130,1152
Asian or Pacific Islander,Belmont,2020,0,431,1154
Other,Belmont,2020,0,0,1156
Unknown,Belmont,2020,0,0,1158
White,Brown,2010,0,44137,1176
Black,Brown,2010,0,494,1178
American Indian or Alaskan Native,Brown,2010,0,84,1180
Asian or Pacific Islander,Brown,2010,0,153,1182
Other,Brown,2010,0,0,1184
Unknown,Brown,2010,0,0,1186
White,Brown,2011,1,43883,1190
Black,Brown,2011,0,509,1192
American Indian or Alaskan Native,Brown,2011,0,89,1194
Asian or Pacific Islander,Brown,2011,0,151,1196
Other,Brown,2011,0,0,1198
Unknown,Brown,2011,0,0,1200
White,Brown,2012,0,43522,1204
Black,Brown,2012,0,522,1206
American Indian or Alaskan Native,Brown,2012,0,94,1208
Asian or Pacific Islander,Brown,2012,0,151,1210
Other,Brown,2012,0,0,1212
Unknown,Brown,2012,0,0,1214
White,Brown,2013,3,43362,1218
Black,Brown,2013,0,522,1220
American Indian or Alaskan Native,Brown,2013,0,94,1222
Asian or Pacific Islander,Brown,2013,0,147,1224
Other,Brown,2013,0,0,1226
Unknown,Brown,2013,0,0,1228
White,Brown,2014,1,43134,1232
Black,Brown,2014,0,544,1234
American Indian or Alaskan Native,Brown,2014,0,111,1236
Asian or Pacific Islander,Brown,2014,0,161,1238
Other,Brown,2014,0,0,1240
Unknown,Brown,2014,0,0,1242
White,Brown,2015,3,42916,1246
Black,Brown,2015,0,524,1248
American Indian or Alaskan Native,Brown,2015,0,122,1250
Asian or Pacific Islander,Brown,2015,0,155,1252
Other,Brown,2015,0,0,1254
