DeathRaceRaceDesc,DeathCountyCountyName,DeathYearYear,Deaths,Population,SORT
Asian or Pacific Islander,Auglaize,2016,0,346,1112
Other,Auglaize,2016,0,0,1114
Unknown,Auglaize,2016,0,0,1116
White,Auglaize,2017,0,44825,1120
Black,Auglaize,2017,0,473,1122
American Indian or Alaskan Native,Auglaize,2017,0,108,1124
Asian or Pacific Islander,Auglaize,2017,0,350,1126
Other,Auglaize,2017,0,0,1128
Unknown,Auglaize,2017,0,0,1130
White,Auglaize,2018,0,44821,1134
Black,Auglaize,2018,0,467,1136
American Indian or Alaskan Native,Auglaize,2018,0,113,1138
Asian or Pacific Islander,Auglaize,2018,0,327,1140
Other,Auglaize,2018,0,0,1142
Unknown,Auglaize,2018,0,0,1144
White,Auglaize,2019,1,44666,1148
Black,Auglaize,2019,0,487,1150
American Indian or Alaskan Native,Auglaize,2019,0,114,1152
Asian or Pacific Islander,Auglaize,2019,0,343,1154
Other,Auglaize,2019,0,0,1156
Unknown,Auglaize,2019,0,0,1158
White,Belmont,2007,0,66864,1176
Black,Belmont,2007,0,3184,1178
American Indian or Alaskan Native,Belmont,2007,0,92,1180
Asian or Pacific Islander,Belmont,2007,0,290,1182
Other,Belmont,2007,0,0,1184
Unknown,Belmont,2007,0,0,1186
White,Belmont,2008,0,66746,1190
Black,Belmont,2008,0,3234,1192
American Indian or Alaskan Native,Belmont,2008,0,88,1194
Asian or Pacific Islander,Belmont,2008,0,288,1196
Other,Belmont,2008,0,0,1198
Unknown,Belmont,2008,0,0,1200
White,Belmont,2009,0,66855,1204
Black,Belmont,2009,0,3198,1206
American Indian or Alaskan Native,Belmont,2009,0,97,1208
Asian or Pacific Islander,Belmont,2009,0,289,1210
Other,Belmont,2009,0,0,1212
Unknown,Belmont,2009,0,0,1214
White,Belmont,2010,0,66760,1218
Black,Belmont,2010,0,3163,1220
American Indian or Alaskan Native,Belmont,2010,0,94,1222
Asian or Pacific Islander,Belmont,2010,0,320,1224
