CountyPopCountyName,PopulationYearYear,RacePopRaceDesc,AgeGroupNCHSAgeNCHS,Count,SORT
Crawford,2020,Black,< 1,15,606
Crawford,2020,White,< 1,428,607
Cuyahoga,2010,Black,< 1,5936,612
Cuyahoga,2010,White,< 1,8075,613
Cuyahoga,2011,Black,< 1,6057,615
Cuyahoga,2011,White,< 1,8228,616
Cuyahoga,2012,Black,< 1,5926,618
Cuyahoga,2012,White,< 1,8137,619
Cuyahoga,2013,Black,< 1,6069,621
Cuyahoga,2013,White,< 1,7997,622
Cuyahoga,2014,Black,< 1,6052,624
Cuyahoga,2014,White,< 1,8244,625
Cuyahoga,2015,Black,< 1,6074,627
Cuyahoga,2015,White,< 1,8100,628
Cuyahoga,2016,Black,< 1,5771,630
Cuyahoga,2016,White,< 1,8071,631
Cuyahoga,2017,Black,< 1,5883,633
Cuyahoga,2017,White,< 1,7873,634
Cuyahoga,2018,Black,< 1,5765,636
Cuyahoga,2018,White,< 1,7751,637
Cuyahoga,2019,Black,< 1,5303,639
Cuyahoga,2019,White,< 1,7764,640
Cuyahoga,2020,Black,< 1,5167,642
Cuyahoga,2020,White,< 1,7743,643
Darke,2010,Black,< 1,9,648
Darke,2010,White,< 1,655,649
Darke,2011,Black,< 1,9,651
Darke,2011,White,< 1,587,652
Darke,2012,Black,< 1,14,654
Darke,2012,White,< 1,602,655
Darke,2013,Black,< 1,16,657
Darke,2013,White,< 1,574,658
Darke,2014,Black,< 1,14,660
Darke,2014,White,< 1,639,661
Darke,2015,Black,< 1,18,663
Darke,2015,White,< 1,586,664
Darke,2016,Black,< 1,13,666
Darke,2016,White,< 1,586,667
Darke,2017,Black,< 1,20,669
Darke,2017,White,< 1,608,670
Darke,2018,Black,< 1,16,672
Darke,2018,White,< 1,606,673
Darke,2019,Black,< 1,15,675
Darke,2019,White,< 1,601,676
Darke,2020,Black,< 1,19,678
Darke,2020,White,< 1,583,679
Defiance,2010,Black,< 1,22,684
Defiance,2010,White,< 1,446,685
Defiance,2011,Black,< 1,23,687
Defiance,2011,White,< 1,470,688
Defiance,2012,Black,< 1,12,690
Defiance,2012,White,< 1,437,691
Defiance,2013,Black,< 1,17,693
Defiance,2013,White,< 1,423,694
