"","year","year_int","county","race","O_c","O_fc","O_s","O_fs","E_c","E_fc","E_s","E_fs"
"1427",2016,6,"Darke","White",0,6,0,1,0.836630855804874,0.836630855804874,0.0403667499194347,0.0403667499194347
"1428",2016,6,"Defiance","White",0,0,1,1,0.613170750693565,0.613170750693565,0.0301560415862149,0.0301560415862149
"1429",2016,6,"Delaware","White",3,3,0,0,3.14554424083285,3.14554424083285,0.142837591391583,0.142837591391583
"1430",2016,6,"Erie","White",5,8,1,1,1.11506206349495,1.11506206349495,0.0552775409543221,0.0552775409543221
"1431",2016,6,"Fairfield","White",0,0,5,5,2.4093516014256,2.4093516014256,0.116840386230734,0.116840386230734
"1432",2016,6,"Fayette","White",0,1,1,2,0.467979121688514,0.467979121688514,0.0231707291067008,0.0231707291067008
"1433",2016,6,"Franklin","White",67,91,3,5,16.4303963579331,16.4303963579331,0.889282369611809,0.889282369611809
"1434",2016,6,"Fulton","White",0,2,0,0,0.701960291682147,0.701960291682147,0.0343156455218331,0.0343156455218331
"1435",2016,6,"Gallia","White",1,1,0,0,0.482655222297003,0.482655222297003,0.0239951198636645,0.0239951198636645
"1436",2016,6,"Geauga","White",1,5,1,3,1.51323712054536,1.51323712054536,0.0705947994785756,0.0705947994785756
"1437",2016,6,"Greene","White",3,4,1,3,2.48913062253033,2.48913062253033,0.126864196902574,0.126864196902574
"1438",2016,6,"Guernsey","White",3,3,1,2,0.644105141198721,0.644105141198721,0.0319901449063711,0.0319901449063711
"1439",2016,6,"Hamilton","White",29,75,4,10,9.89551865613696,9.89551865613696,0.518484620898483,0.518484620898483
"1440",2016,6,"Hancock","White",1,3,2,2,1.23237491804625,1.23237491804625,0.0624028593481282,0.0624028593481282
"1441",2016,6,"Hardin","White",1,1,1,1,0.484267189406211,0.484267189406211,0.0228988277860769,0.0228988277860769
"1442",2016,6,"Harrison","White",0,0,0,0,0.250047866565603,0.250047866565603,0.0122170677115958,0.0122170677115958
"1443",2016,6,"Henry","White",0,0,0,0,0.450706481852497,0.450706481852497,0.0222851389314933,0.0222851389314933
"1444",2016,6,"Highland","White",1,1,1,1,0.705652712122268,0.705652712122268,0.0343404961730251,0.0343404961730251
"1445",2016,6,"Hocking","White",0,0,2,2,0.482131761281455,0.482131761281455,0.023389895290014,0.023389895290014
"1446",2016,6,"Holmes","White",0,0,0,0,0.657149508892739,0.657149508892739,0.0331685395466302,0.0331685395466302
"1447",2016,6,"Huron","White",0,1,1,1,0.96477603462914,0.96477603462914,0.0471956394609169,0.0471956394609169
"1448",2016,6,"Jackson","White",0,0,0,0,0.547009905703466,0.547009905703466,0.0271317177205025,0.0271317177205025
"1449",2016,6,"Jefferson","White",5,6,0,0,1.04555581485358,1.04555581485358,0.0514104970106509,0.0514104970106509
"1450",2016,6,"Knox","White",2,4,1,2,0.965392881564599,0.965392881564599,0.047095567160107,0.047095567160107
"1451",2016,6,"Lake","White",4,17,2,5,3.74078183512739,3.74078183512739,0.184239896747347,0.184239896747347
"1452",2016,6,"Lawrence","White",3,3,0,0,1.01979532559904,1.01979532559904,0.04983360473454,0.04983360473454
"1453",2016,6,"Licking","White",0,0,4,4,2.80152967653124,2.80152967653124,0.13691771518766,0.13691771518766
"1454",2016,6,"Logan","White",2,6,0,0,0.740070722873499,0.740070722873499,0.0360985925896169,0.0360985925896169
"1455",2016,6,"Lorain","White",18,50,1,4,4.68614864709458,4.68614864709458,0.225610161537622,0.225610161537622
"1456",2016,6,"Lucas","White",16,25,1,1,5.77247045383382,5.77247045383382,0.296464424769316,0.296464424769316
"1457",2016,6,"Madison","White",0,3,0,2,0.731896639151694,0.731896639151694,0.0356033544544876,0.0356033544544876
"1458",2016,6,"Mahoning","White",13,22,0,0,3.20849222512841,3.20849222512841,0.158823166192282,0.158823166192282
"1459",2016,6,"Marion","White",6,9,0,0,1.04788609292698,1.04788609292698,0.0522680437042311,0.0522680437042311
"1460",2016,6,"Medina","White",4,9,1,1,3.032998456119,3.032998456119,0.144051868380604,0.144051868380604
"1461",2016,6,"Meigs","White",3,4,0,0,0.396748490870668,0.396748490870668,0.0193283977644625,0.0193283977644625
"1462",2016,6,"Mercer","White",1,1,1,1,0.644052530618874,0.644052530618874,0.032350667117493,0.032350667117493
"1463",2016,6,"Miami","White",1,7,0,1,1.70088921456549,1.70088921456549,0.0841089063963508,0.0841089063963508
"1464",2016,6,"Monroe","White",0,0,0,0,0.229713021360205,0.229713021360205,0.0110641381594469,0.0110641381594469
"1465",2016,6,"Montgomery","White",23,76,8,20,6.79501096894444,6.79501096894444,0.345136802467679,0.345136802467679
"1466",2016,6,"Morgan","White",0,0,0,0,0.235004514791638,0.235004514791638,0.0114601275610869,0.0114601275610869
"1467",2016,6,"Morrow","White",2,2,0,0,0.600136816089553,0.600136816089553,0.0288990452809331,0.0288990452809331
"1468",2016,6,"Muskingum","White",1,1,0,0,1.3700636491521,1.3700636491521,0.0676565670003771,0.0676565670003771
"1469",2016,6,"Noble","White",0,0,0,0,0.220754632311398,0.220754632311398,0.0112192853142292,0.0112192853142292
"1470",2016,6,"Ottawa","White",2,3,0,0,0.659723445779098,0.659723445779098,0.0322175808567355,0.0322175808567355
"1471",2016,6,"Paulding","White",0,0,0,0,0.309467893582209,0.309467893582209,0.0152218631846847,0.0152218631846847
"1472",2016,6,"Perry","White",0,0,2,2,0.619226239609938,0.619226239609938,0.0304878333391636,0.0304878333391636
"1473",2016,6,"Pickaway","White",1,1,0,0,0.979241878239379,0.979241878239379,0.0478124295723976,0.0478124295723976
